Raw_Material,Strain,Reactor_Type,Pretreatment,Lignin_percent,Moisture_percent,Ethanol_Tolerance_percent,Temperature_C,pH,Fermentation_hours,Agitation_rpm,Aeration_vvm,Inoculum_percent,Enzyme_gL,Ethanol_gL,Total_Sugar_gL,Process_Efficiency
Sugarcane,Z_mobilis,Fluidized_Bed,,17.533397643070025,13.531185387651,14.622160426609952,32.894309398212904,5.018588980602072,45.90370599402518,171.7179801591878,0.9013815417794866,9.862718850741691,5.518409531465657,89.64133477490644,166.65065738618236,1.0
Corn,K_marxianus,Fluidized_Bed,,9.940205315028264,11.361101075638164,15.815195184866395,31.313685088233186,5.389994650187849,45.64213970912,162.89225452643652,1.0980065092626197,10.888384072977672,4.790696869324073,101.2746457276349,147.62060498989135,1.0
Bagasse,Z_mobilis,Stirred_Tank,,9.062298825936018,11.348598492074208,14.443701976032695,28.5026789328801,4.734196635023945,50.47991382775249,143.2407424546341,0.6768140836159737,13.346046537371649,4.245170842766735,104.3668949978905,192.40488797802124,1.0
Wheat,K_marxianus,Packed_Bed,,8.432920222437655,8.20514665010263,10.990332832235136,30.57519522883003,5.375282361843861,34.43344899855683,117.08434815801483,0.7840735479173121,8.507724961403394,4.999808804861067,95.22891359148348,182.15478731413464,1.0
Sugarcane,K_marxianus,Fluidized_Bed,Physical,11.129101111597326,13.53812410630572,13.438914788822808,25.96468987375092,4.723961762192538,44.852177583392425,133.86941406837184,1.1334447575806503,9.85795216304886,4.103155352321094,98.5211783098875,186.00226398220997,1.0
Sugarcane,S_cerevisiae,Fluidized_Bed,Chemical,11.159747767512789,12.753436189204578,10.30881985784938,31.34652915207386,5.280463963742465,65.29464655201245,155.67969339289422,1.0360360915417752,8.839595900911837,4.916431851343472,106.4872689601196,156.57365756307732,1.0
Sugarcane,K_marxianus,Stirred_Tank,Physical,12.851883619379535,8.312819954208866,14.787153796861872,31.333857136941266,5.036425589140904,50.02748279155324,181.1682649274861,0.854444712961111,8.618529119999708,4.1994804898810045,105.80513835158575,182.98203749178825,1.0
Corn,K_marxianus,Packed_Bed,,7.22181350695296,9.050473516370246,10.159366686735575,27.73614220120426,5.097117567723301,46.41301340451755,185.7825729160296,1.0926250849840744,13.917760680415308,5.13291914245451,103.81395590789283,161.12035787686864,1.0
Bagasse,Z_mobilis,Packed_Bed,Chemical,9.062515365576216,12.509312089853376,9.949920088928003,33.6008278841879,5.727546523307155,49.98444153473508,128.07197389023133,1.1612289267231113,6.520310000063095,6.235768584234896,96.1906827183005,153.94244643280624,1.0
Cellulose,Z_mobilis,Fluidized_Bed,Enzymatic,16.09163716967261,13.592294756633516,14.290959322471998,31.614429663915907,4.852186209436097,44.52991204148752,148.77437797714663,1.0696907305540206,10.156752387881772,4.100125298880193,98.80999021415458,191.66308351831586,1.0
Wheat,Z_mobilis,Packed_Bed,,10.673771899749976,7.470627929819424,12.02647957338571,32.65374891933126,5.308219859192673,56.44216156268953,152.17987333430344,1.277943826887903,8.677426531594483,3.42133340624065,79.51491580846238,151.60237509753756,1.0
Wheat,S_cerevisiae,Fluidized_Bed,Chemical,9.48242688001976,7.992578460550847,13.50078581688852,32.06056923398574,5.10120043820738,51.03379846231503,154.73880218850607,0.8274466470935637,8.309821423662946,5.919203037172747,101.21513944009496,174.69644090092623,1.0
Sugarcane,Z_mobilis,Stirred_Tank,,7.175146703248895,9.71242648715566,13.676465624708548,28.70440458642342,5.586258171750978,39.91080766813057,153.4478458034367,0.8504993664472278,9.484154614010892,5.835458026643126,100.5409157859565,154.3500855247531,1.0
Sugarcane,S_cerevisiae,Stirred_Tank,,11.517802917462255,5.65781194111497,9.663037480808969,29.034704299150704,5.5377419407377815,48.907839522337234,132.05967498038297,1.0484633093736182,10.854983952897154,5.210279740864529,83.57422511823475,133.99291196985436,1.0
Corn,S_cerevisiae,Fluidized_Bed,Enzymatic,13.093054651127332,10.038090320418846,12.146338666404183,28.238249853031014,5.426686302836349,47.46447416414299,147.98031572103213,1.221588435282805,13.600921405486444,4.3236077840659535,93.22309992960366,137.79317828094415,1.0
Wheat,Z_mobilis,Packed_Bed,Chemical,12.623762937429422,12.371487028059969,10.43659084872961,25.21838259014178,5.135517320240416,53.92988904361897,140.2602077204347,0.76821279191931,9.490283447935228,6.5331230473657484,87.58068627018488,155.76374253483982,1.0
Corn,K_marxianus,Stirred_Tank,Physical,9.22359740917325,7.122725967528501,8.070384817327362,31.24523344421008,4.55325942969177,39.89322946346495,152.7962165276757,1.00960124923015,8.278759311894277,5.569473095545684,85.61478919241202,158.92707938723407,1.0
Corn,K_marxianus,Packed_Bed,,11.083756850090609,10.254213929950174,11.800677491800526,32.67160921878031,4.986254858549456,45.67003713966975,177.53706978313716,0.9074751322921883,12.195549779860754,3.925442903710696,86.04853144024072,163.38051295551512,1.0
Bagasse,Z_mobilis,Fluidized_Bed,Physical,15.014978309945835,8.836458590009373,10.630514230722325,29.826236490590578,4.448627448785362,43.32667799698433,149.51673138831862,1.2960123181522571,8.529898730539404,4.319321311521012,83.1557359074145,153.20891037822935,1.0
Cellulose,K_marxianus,Fluidized_Bed,,13.212646876514407,13.279891897507834,13.19962772096408,36.0077061782835,4.637122847778018,39.80402584385451,133.9632339670227,1.047788415386529,7.266870754952682,4.739766377601546,69.35271584541306,144.81980113411646,0.9389994757554728
Corn,S_cerevisiae,Stirred_Tank,,7.647511773420041,8.860416275733897,14.266747714793516,28.82517401412266,4.846936670477181,40.6720639778403,180.98398914155297,0.9451563766127392,10.21264727237037,6.245221935565121,106.1614787582512,181.7093997798628,1.0
Bagasse,Z_mobilis,Packed_Bed,Enzymatic,2.361984806135592,13.037986175497169,10.533054167622332,27.442326422402758,5.221153103182946,45.34279588197069,151.5660447839971,0.8837025493845028,8.140102872818204,4.652455129743263,96.71211854497638,140.46823829087816,1.0
Wheat,S_cerevisiae,Packed_Bed,Enzymatic,10.890317521252705,8.805089858377546,9.756638984990534,30.77220362282505,4.644858267903016,57.88543008992509,149.27504752861896,0.9348498838969544,8.212228851256882,3.057672425020256,89.76039449256783,149.0117588166462,1.0
Wheat,Z_mobilis,Stirred_Tank,,12.3957043802453,11.54235161066826,11.859876048959476,30.15543836927335,4.650904403832176,47.89328061829905,153.48202461298885,1.0101035679427064,11.560896080033237,3.565395956062176,90.0871673338709,156.1945512356539,1.0
Wheat,K_marxianus,Fluidized_Bed,Chemical,6.732326524380213,10.503891236725398,12.607069555459846,31.763807595931198,4.147587696621965,51.10843329302507,156.40193596684225,0.8676930395649,7.8149153236681315,4.455534822038882,90.60737615625888,141.96142896362136,1.0
Wheat,K_marxianus,Stirred_Tank,Chemical,9.973631433631668,9.723454666971396,13.036990857714825,30.812735570806787,5.475856794492723,45.58876730335673,194.38759268503003,0.9273001904572272,9.535804259069522,4.700131154931306,103.92563692534922,179.28015973456013,1.0
Cellulose,S_cerevisiae,Fluidized_Bed,,9.208902802380765,8.418942861892049,16.072409322034915,32.554275913381254,4.9949555468587326,41.79705538234586,198.2781650889324,1.287356068744213,8.725951155806245,3.883839017077049,87.95828994683689,146.61248574065843,1.0
Wheat,K_marxianus,Fluidized_Bed,Enzymatic,10.312858966696597,10.646190842635786,14.337162104240264,26.908255918536923,5.303865102391107,46.50930289187482,160.29204682225247,1.171539917445457,10.603592954507302,8.11466800505361,100.25260801204338,150.39557515676438,1.0
Wheat,K_marxianus,Fluidized_Bed,,8.365911138640863,9.118929475030177,11.973690286565406,29.96164258719641,5.1666356652135725,47.42614775475837,162.70692554312683,0.8285169677441364,7.956069065534281,6.562298329314633,90.39221327769704,155.6064990216373,1.0
Cellulose,S_cerevisiae,Packed_Bed,Physical,13.87153299288398,8.620467550383724,16.696169647179378,29.27058917835102,4.783160343358801,56.733277069733845,145.05247882830523,1.2383972643166998,11.388202794077875,6.595374264284088,92.81958378940438,173.54775164498795,1.0
Cellulose,S_cerevisiae,Fluidized_Bed,,10.443906641898288,12.94544548275144,13.72810191686712,31.78504479613352,5.087780970195518,52.50793427585502,128.96266765154746,0.930422110875566,12.25279324091058,5.598707945635512,96.43781107438728,158.3387283246538,1.0
Sugarcane,S_cerevisiae,Packed_Bed,Chemical,7.36294934150575,11.095060454986454,13.96418421696686,28.35940721857721,5.295249974438986,49.15827835144433,177.57359224539246,1.3489311632735888,10.05760451974834,3.811922858573431,113.98562645376,180.88191358724166,1.0
Bagasse,Z_mobilis,Stirred_Tank,Chemical,12.75238646078116,11.287277903814406,16.007562326130973,28.03464925419051,4.7754482300991965,38.31057043781499,111.1247633662116,0.8440597578544577,8.305394785059303,6.114450459194385,,,0.0
